Dataset,LLM,Method,R@1,R@5,R@10,R@100,Mean_Rank,Median_Rank,MRR,Improvement_Rate,No_Degradation_Rate,Degradation_Rate,Absolute_Amelioration,Relative_Amelioration,Absolute_Progression_Mean,Absolute_Progression_Median,Absolute_Relative_Progression_Mean,Absolute_Relative_Progression_Median,Absolute_Amelioration_Mean,Absolute_Amelioration_Median,Absolute_Degradation_Mean,Absolute_Degradation_Median,Absolute_Progression_Mean.1,Absolute_Progression_Median.1,Absolute_Relative_Progression_Mean.1,Absolute_Relative_Progression_Median.1,Absolute_Amelioration_Mean.1,Absolute_Amelioration_Median.1,Absolute_Degradation_Mean.1,Absolute_Degradation_Median.1,Raw_Progression_Mean,Raw_Progression_Median,Raw_Relative_Progression_Mean,Raw_Relative_Progression_Median,Raw_Amelioration_Mean,Raw_Amelioration_Median,Raw_Degradation_Mean,Raw_Degradation_Median,Mean_Log_Rank_Ratio
Flickr,mistral:7b,Structured,0.035642,0.123218,0.195519,0.720978,141.938900,42.000000,0.093021,0.468432,0.487780,0.512220,27.567391,0.543634,118.928717,32.000000,2.813995,0.734534,27.567391,23.000000,206.972167,56.000000,-93.101833,-1.000000,-2.304684,-0.058081,27.567391,23.000000,-206.972167,-56.000000,-93.101833,-1.000000,-2.304684,-0.058081,27.567391,23.000000,-206.972167,-56.000000,-0.129377
Flickr,mistral:7b,Unstructured,0.030550,0.107943,0.174134,0.705703,147.464358,46.500000,0.083165,0.443992,0.456212,0.543788,26.130734,0.521716,121.830957,30.000000,2.788529,0.674035,26.130734,20.000000,202.705993,48.000000,-98.627291,-4.000000,-2.325254,-0.158493,26.130734,20.000000,-202.705993,-48.000000,-98.627291,-4.000000,-2.325254,-0.158493,26.130734,20.000000,-202.705993,-48.000000,-0.263996
Flickr,gemma3:4b,Baseline,0.000000,0.069000,0.112000,1.000000,49.318000,49.500000,0.052436,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Flickr,gemma3:4b,Structured,0.032000,0.126000,0.202000,0.761000,142.843000,40.000000,0.093703,0.504000,0.533000,0.467000,27.140873,0.531402,120.883000,28.000000,2.692842,0.635890,27.140873,22.000000,229.558887,47.000000,-93.525000,1.000000,-2.157189,0.020204,27.140873,22.000000,-229.558887,-47.000000,-93.525000,1.000000,-2.157189,0.020204,27.140873,22.000000,-229.558887,-47.000000,0.018581
Flickr,gemma3:4b,Unstructured,0.015000,0.102000,0.162000,0.745000,123.593000,49.000000,0.072645,0.381000,0.510000,0.490000,24.446194,0.486794,92.903000,22.000000,3.366123,0.533252,24.446194,18.000000,170.589796,45.000000,-74.275000,0.000000,-2.995186,0.000000,24.446194,18.000000,-170.589796,-45.000000,-74.275000,0.000000,-2.995186,0.000000,24.446194,18.000000,-170.589796,-45.000000,-0.218162
Flickr,gemma3:27b,Baseline,0.000000,0.069069,0.111111,1.000000,49.361361,50.000000,0.052322,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Flickr,gemma3:27b,Structured,0.023023,0.116116,0.198198,0.792793,93.390390,38.000000,0.089115,0.536537,0.559560,0.440440,26.296642,0.506748,72.247247,25.000000,1.716608,0.600000,26.296642,21.000000,132.000000,38.500000,-44.029029,2.000000,-1.172830,0.100000,26.296642,21.000000,-132.000000,-38.500000,-44.029029,2.000000,-1.172830,0.100000,26.296642,21.000000,-132.000000,-38.500000,0.124425
Flickr,gemma3:27b,Unstructured,0.029029,0.125125,0.198198,0.778779,92.633634,42.000000,0.092659,0.504505,0.526527,0.473473,25.690476,0.511018,69.194194,24.000000,1.582367,0.623529,25.690476,20.000000,118.767442,39.000000,-43.272272,1.000000,-1.066745,0.015873,25.690476,20.000000,-118.767442,-39.000000,-43.272272,1.000000,-1.066745,0.015873,25.690476,20.000000,-118.767442,-39.000000,0.086239
VizWiz,mistral:7b,Baseline,0.000000,0.033033,0.051051,0.101101,494.624625,501.000000,0.018435,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
VizWiz,mistral:7b,Structured,0.039039,0.086086,0.107107,0.272272,1136.592593,344.000000,0.064400,0.499499,0.506507,0.493493,347.016032,0.630043,988.636637,369.000000,12.967603,0.828402,347.016032,302.000000,1652.103448,513.000000,-641.967968,0.000000,-12.338191,0.000000,347.016032,302.000000,-1652.103448,-513.000000,-641.967968,0.000000,-12.338191,0.000000,347.016032,302.000000,-1652.103448,-513.000000,0.431669
VizWiz,mistral:7b,Unstructured,0.044044,0.083083,0.107107,0.268268,1206.087087,359.000000,0.068022,0.507508,0.512513,0.487487,335.207101,0.620845,1051.702703,337.000000,14.449162,0.803324,335.207101,290.000000,1808.420945,466.000000,-711.462462,2.000000,-13.818995,0.032129,335.207101,290.000000,-1808.420945,-466.000000,-711.462462,2.000000,-13.818995,0.032129,335.207101,290.000000,-1808.420945,-466.000000,0.450731
VizWiz,gemma3:4b,Baseline,0.000000,0.033000,0.051000,0.101000,494.403000,500.000000,0.018420,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
VizWiz,gemma3:4b,Structured,0.039000,0.086000,0.109000,0.275000,1073.065000,315.500000,0.064077,0.516000,0.560000,0.440000,322.724806,0.600808,911.714000,283.000000,12.728802,0.710058,322.724806,249.500000,1693.609091,416.500000,-578.662000,5.500000,-12.108768,0.066372,322.724806,249.500000,-1693.609091,-416.500000,-578.662000,5.500000,-12.108768,0.066372,322.724806,249.500000,-1693.609091,-416.500000,0.526090
VizWiz,gemma3:4b,Unstructured,0.039000,0.086000,0.108000,0.276000,947.784000,323.500000,0.065575,0.486000,0.590000,0.410000,332.248971,0.620854,776.327000,274.500000,10.975139,0.706513,332.248971,287.500000,1499.643902,442.000000,-453.381000,0.000000,-10.371669,0.000000,332.248971,287.500000,-1499.643902,-442.000000,-453.381000,0.000000,-10.371669,0.000000,332.248971,287.500000,-1499.643902,-442.000000,0.565087
VizWiz,gemma3:27b,Baseline,0.000000,0.033000,0.051000,0.101000,494.403000,500.000000,0.018420,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
VizWiz,gemma3:27b,Structured,0.044000,0.095000,0.126000,0.301000,970.833000,268.500000,0.074260,0.571000,0.580000,0.420000,333.859895,0.628048,857.698000,306.500000,4.323237,0.761607,333.859895,286.000000,1588.247619,395.500000,-476.430000,49.500000,-3.606006,0.207230,333.859895,286.000000,-1588.247619,-395.500000,-476.430000,49.500000,-3.606006,0.207230,333.859895,286.000000,-1588.247619,-395.500000,0.806790
VizWiz,gemma3:27b,Unstructured,0.046000,0.090000,0.119000,0.315000,905.481000,289.500000,0.073831,0.566000,0.578000,0.422000,335.595406,0.632859,790.972000,301.000000,10.041808,0.750000,335.595406,286.000000,1424.229858,361.000000,-411.078000,39.500000,-9.325412,0.195392,335.595406,286.000000,-1424.229858,-361.000000,-411.078000,39.500000,-9.325412,0.195392,335.595406,286.000000,-1424.229858,-361.000000,0.818807
